category	parent	database	scope	aspect	source	uniprot	genesymbol	entity_type	consensus_score	transmitter	receiver	secreted	plasma_membrane_transmembrane	plasma_membrane_peripheral
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O15197	EPHB6	protein	7	False	False	True	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9H228	S1PR5	protein	7	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O43505	B4GAT1	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q6ICI0	LHFPL7	protein	4	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9BQ31	KCNS3	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9NX94	WBP1L	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q6UX68	XKR5	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O95006	OR2F2	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8IVJ1	SLC41A1	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O60507	TPST1	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	C9JQL5		protein	3	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q6UXZ4	UNC5D	protein	6	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8NGQ4	OR10Q1	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q01959	SLC6A3	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9UIG8	SLCO3A1	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O00592	PODXL	protein	4	False	False	True	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9YNA8	ERVK-19	protein	3	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8NEQ5	C1orf162	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P46977	STT3A	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8IZT8	HS3ST5	protein	3	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q86T96	RNF180	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q16853	AOC3	protein	4	False	False	True	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P37288	AVPR1A	protein	6	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9NPG8	ZDHHC4	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8NGY6	OR6N2	protein	5	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P48067	SLC6A9	protein	6	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q8NGX3	OR10T2	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	O75197	LRP5	protein	5	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P22794	EVI2A	protein	6	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	P04839	CYBB	protein	6	False	False	False	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q15011	HERPUD1	protein	7	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	A6QL63	ABTB3	protein	4	False	False	False	False	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q15256	PTPRR	protein	8	False	False	True	True	False
transmembrane	transmembrane	UniProt_location	generic	locational	resource_specific	Q9H1U9	SLC25A51	protein	4	False	False	False	False	False
