name	components	components_genesymbols	stoichiometry	sources	references	identifiers
ACVR1/BMPR2	Q04771_Q13873	ACVR1_BMPR2	1:1	SIGNOR;Cellinker;ICELLNET;KEGG-MEDICUS;hu.MAP3;CellChatDB;CellPhoneDB	27481709	SIGNOR:SIGNOR-C30;CellPhoneDB:ACVR1_BMPR2
RISC(DICER1/AGO2/TARBP2)	Q15633_Q9UKV8_Q9UPY3	AGO2_DICER1_TARBP2	1:1:1	SIGNOR;Compleat;hu.MAP2;CORUM;hu.MAP3	16271387;17507929	SIGNOR:SIGNOR-C32;CORUM:5377;Compleat:HC1633
CDX2/PAX6/P300	P26367_Q09472_Q99626	CDX2_EP300_PAX6	0:0:0	SIGNOR		SIGNOR:SIGNOR-C33
RNA helicases DDX5/DDX17	P17844_Q92841	DDX17_DDX5	0:0	hu.MAP3;SIGNOR		SIGNOR:SIGNOR-C34
CyclinK/CDK12	O75909_Q9NYV4	CCNK_CDK12	2:2	PDB;SIGNOR;ComplexPortal	14755292	SIGNOR:SIGNOR-C37;intact:EBI-11166946;reactome:R-HSA-6797095;PDB:7nxk;PDB:4nst;PDB:9jk1;PDB:5acb;PDB:4un0;PDB:6ckx;PDB:8p81;PDB:6b3e;PDB:4cxa
CyclinK/CDK13	O75909_Q14004	CCNK_CDK13	2:2	PDB;SIGNOR;ComplexPortal	26748711;14755292	SIGNOR:SIGNOR-C38;intact:EBI-11599309;reactome:R-HSA-6797094;PDB:5EFQ;PDB:7nxj;PDB:5efq
DDB2/DDB1	Q16531_Q92466	DDB1_DDB2	3:3	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal;SPIKE	19109893;22822215;14755292;19966799;16223728	SIGNOR:SIGNOR-C39;CORUM:790;Compleat:HC3351;intact:EBI-11421235;reactome:R-HSA-5688955;PDB:4e54;PDB:3ei4;PDB:4e5z;PDB:3i7l
DICER1/hAgo2/PRKRA	O75569_Q9UKV8_Q9UPY3	AGO2_DICER1_PRKRA	0:0:0	SIGNOR		SIGNOR:SIGNOR-C41
DNMT1/DNMT3A	P26358_Q9Y6K1	DNMT1_DNMT3A	0:0	SIGNOR		SIGNOR:SIGNOR-C42
DNMT1/DNMT3B	P26358_Q9UBC3	DNMT1_DNMT3B	0:0	SIGNOR		SIGNOR:SIGNOR-C43
eIF4F_complex	P06730_Q04637_Q14240	EIF4A2_EIF4E_EIF4G1	1:1:1	SIGNOR;ComplexPortal	14755292;29169064;19239892	SIGNOR:SIGNOR-C44;intact:EBI-25466136;PDB:2w97;PDB:4aza
ELF4/RUNX1	Q01196_Q99607	ELF4_RUNX1	0:0	SIGNOR		SIGNOR:SIGNOR-C47
ELL/ICE1	P55199_Q9Y2F5	ELL_ICE1	0:0	SIGNOR		SIGNOR:SIGNOR-C48
ELL/ICE2	P55199_Q659A1	ELL_ICE2	0:0	SIGNOR		SIGNOR:SIGNOR-C49
ERCC4/ERCC1	P07992_Q92889	ERCC1_ERCC4	1:1	SIGNOR;Compleat;PDB;ComplexPortal;Havugimana2012;SPIKE;KEGG-MEDICUS	9525876;16338413;16076955;23623389;14755292;22547097	SIGNOR:SIGNOR-C50;Havugimana2012:C_63;Compleat:HC23;reactome:R-HSA-109943;intact:EBI-11838611;PDB:2a1j;PDB:2mut;PDB:6sxa;PDB:1z00;PDB:6sxb
EXT1/EXT2	Q16394_Q93063	EXT1_EXT2	1:1	PDB;SIGNOR;ComplexPortal;CORUM	10639137;14755292;36593275;36402845	SIGNOR:SIGNOR-C51;CORUM:6881;intact:EBI-46450618;reactome:R-HSA-2022878;PDB:7zay;PDB:7UQX;PDB:7UQY;PDB:7SCJ;PDB:7SCH;PDB:7uqx;PDB:7uqy;PDB:7sck;PDB:7ZAY;PDB:7scj;PDB:7SCK;PDB:7sch
FGFR1OP/CEP350	O95684_Q5VT06	CEP350_CEP43	0:0	SIGNOR		SIGNOR:SIGNOR-C52
CPSF complex	O95639_Q10570_Q6UN15_Q9P2I0_Q9UKF6	CPSF1_CPSF2_CPSF3_CPSF4_FIP1L1	1:1:1:1:1	SIGNOR;Compleat;CORUM	14749727	SIGNOR:SIGNOR-C53;CORUM:1144;Compleat:HC1049
KAT6A/KAT6B	Q8WYB5_Q92794	KAT6A_KAT6B	0:0	SIGNOR		SIGNOR:SIGNOR-C54
KAT6A/PML	P29590_Q92794	KAT6A_PML	0:0	SIGNOR		SIGNOR:SIGNOR-C55
KCNJ5/KCNJ3	P48544_P48549	KCNJ3_KCNJ5	1:1	SIGNOR;ComplexPortal;hu.MAP2	9765280;19703462;9478984;14755292	SIGNOR:SIGNOR-C56;intact:EBI-9975539
MLH1/PMS1	P40692_P54277	MLH1_PMS1	1:1	SIGNOR;Compleat;hu.MAP2;CORUM;ComplexPortal;SPIKE	14755292;10748105;11292842;38348856	SIGNOR:SIGNOR-C58;CORUM:380;Compleat:HC77;intact:EBI-55036036
MLH1/PMS2	P40692_P54278	MLH1_PMS2	1:1	SIGNOR;Compleat;CORUM;ComplexPortal;SPIKE	16873062;7892206;10748105;11292842;14755292;10570173;35189042	SIGNOR:SIGNOR-C59;CORUM:292;Compleat:HC1065;Compleat:HC3609;reactome:R-HSA-5357522;intact:EBI-55035756
MSH2/MSH6	P43246_P52701	MSH2_MSH6	1:1	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal;SPIKE	7604264;8816473;14755292;9428522;8942985	SIGNOR:SIGNOR-C60;CORUM:374;Compleat:HC1322;intact:EBI-10691103;reactome:R-HSA-5358531;PDB:2o8b;PDB:2O8E;PDB:2o8d;PDB:2o8f;PDB:2O8F;PDB:2o8e;PDB:2o8c;PDB:8ag6;PDB:2O8B;PDB:2O8D;PDB:2O8C
MSN/PDZD8	P26038_Q8NEN9	MSN_PDZD8	0:0	SIGNOR		SIGNOR:SIGNOR-C61
NONO/SFPQ	P23246_Q15233	NONO_SFPQ	2:2	SIGNOR;Compleat;CORUM;PDB;ComplexPortal;hu.MAP3	22416126;14755292;35886974;15590677	SIGNOR:SIGNOR-C62;CORUM:330;Compleat:HC3504;intact:EBI-42489826;PDB:7lrq;PDB:6WMZ;PDB:7pu5;PDB:6wmz
POT1/ACD	Q96AP0_Q9NUX5	ACD_POT1	4:4	PDB;SIGNOR		SIGNOR:SIGNOR-C64;PDB:5h65;PDB:5un7;PDB:7s1t
RAD51B/RAD51C	O15315_O43502	RAD51B_RAD51C	1:1	SIGNOR;Compleat;CORUM	11751636;11744692	SIGNOR:SIGNOR-C65;CORUM:256;Compleat:HC1518
RBM15/NXF1	Q96T37_Q9UBU9	NXF1_RBM15	0:0	SIGNOR		SIGNOR:SIGNOR-C67
REL/RELA	Q04206_Q04864	REL_RELA	1:1	SIGNOR;ComplexPortal	14755292;30205516;17072323	SIGNOR:SIGNOR-C68;intact:EBI-25616580
SEPT6/SEPT2	Q14141_Q15019	SEPTIN2_SEPTIN6	1:1	PDB;SIGNOR		SIGNOR:SIGNOR-C71;PDB:6upa
SEPT6/SEPT7	Q14141_Q16181	SEPTIN6_SEPTIN7	0:0	SIGNOR		SIGNOR:SIGNOR-C72
SOX2/POU5F1	P48431_Q01860	POU5F1_SOX2	1:1	SIGNOR;Compleat;SPIKE;CORUM	12923055	SIGNOR:SIGNOR-C73;CORUM:2801;Compleat:HC1614
SP1/STAT3	P08047_P40763	SP1_STAT3	0:0	SIGNOR		SIGNOR:SIGNOR-C74
SS18/MLLT10	P55197_Q15532	MLLT10_SS18	0:0	SIGNOR		SIGNOR:SIGNOR-C75
SUZ12/EED	O75530_Q15022	EED_SUZ12	2:2	PDB;SIGNOR		SIGNOR:SIGNOR-C76;PDB:5wg6
SUZ12/EZH2	Q15022_Q15910	EZH2_SUZ12	0:0	hu.MAP2;SIGNOR;Havugimana2012		SIGNOR:SIGNOR-C77;Havugimana2012:C_83
U2AF1/U2AF2	P26368_Q01081	U2AF1_U2AF2	1:1	PDB;SIGNOR;ComplexPortal	14755292	SIGNOR:SIGNOR-C78;intact:EBI-6397349;intact:EBI-1031973;PDB:1jmt
ZBTB16/ZBTB32	Q05516_Q9Y2Y4	ZBTB16_ZBTB32	0:0	SIGNOR		SIGNOR:SIGNOR-C80
ZRSR2/U2AF2	P26368_Q15696	U2AF2_ZRSR2	0:0	SIGNOR		SIGNOR:SIGNOR-C81
CyclinA2/CDK2	P20248_P24941	CCNA2_CDK2	2:2	SIGNOR;Compleat;CORUM;PDB;ComplexPortal;SPIKE;KEGG-MEDICUS	14755292;8475101	SIGNOR:SIGNOR-C83;CORUM:5556;Compleat:HC1942;intact:EBI-767671;PDB:1jst;PDB:4cfw;PDB:4eok;PDB:4eol;PDB:1p5e;PDB:4eon;PDB:2wma;PDB:2iw8;PDB:1ol2;PDB:1gy3;PDB:6rij;PDB:4eom;PDB:2iw6;PDB:5cyi;PDB:3ej1;PDB:1pkd;PDB:4eoi;PDB:2iw9;PDB:5nev;PDB:1urc;PDB:4bcp;PDB:1oiy;PDB:4eoo;PDB:2wih;PDB:1oi9;PDB:3f5x;PDB:2whb;PDB:4eop;PDB:1h1q;PDB:2wev;PDB:2bpm;PDB:2c5o;PDB:1okw;PDB:2wxv;PDB:8b54;PDB:1VYW;PDB:2c4g;PDB:4bck;PDB:6sg4;PDB:2x1n;PDB:4bcn;PDB:1vyw;PDB:2wmb;PDB:4cfn;PDB:5if1;PDB:1ol1;PDB:4cfx;PDB:2v22;PDB:6gva;PDB:7mkx;PDB:2bkz;PDB:2uze;PDB:2cjm;PDB:2uue;PDB:2i40;PDB:1ogu;PDB:9gla;PDB:1okv;PDB:4bcm;PDB:1fvv;PDB:7qhl;PDB:4fx3;PDB:2wfy;PDB:4eor;PDB:1h1r;PDB:2uzb;PDB:4cfu;PDB:3eoc;PDB:1e9h;PDB:2c5x;PDB:2c6t;PDB:2wpa;PDB:1fin;PDB:3eid;PDB:4cfv;PDB:2wip;PDB:7b7s;PDB:4eoj;PDB:1h1p;PDB:1oiu;PDB:2uzl;PDB:2uzd;PDB:1qmz;PDB:4eoq;PDB:7ack;PDB:4cfm;PDB:1h1s;PDB:2c5n;PDB:5lmk;PDB:4eos;PDB:2c5v
NR3C1/STAT5A	P04150_P42229	NR3C1_STAT5A	0:0	SIGNOR		SIGNOR:SIGNOR-C84
SMAD1/5/8/SMAD4	Q13485_Q15797	SMAD1_SMAD4	1:1	SIGNOR;ComplexPortal	12923550;8061611;4065410;16322555;14755292	SIGNOR:SIGNOR-C215;intact:EBI-10127301
SMAD3/JUN	P05412_P84022	JUN_SMAD3	0:0	SIGNOR		SIGNOR:SIGNOR-C86
SWI/SNF complex	O14497_O96019_P51532_Q12824_Q68CP9_Q8NFD5_Q8TAQ2_Q92922_Q969G3_Q96GM5	ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1	0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C92
CDON/BOC/PTCH1	Q13635_Q4KMG0_Q9BWV1	BOC_CDON_PTCH1	0:0:0	SIGNOR		SIGNOR:SIGNOR-C95
RBPJ/NOTCH	P46531_Q06330	NOTCH1_RBPJ	2:1	SIGNOR;Compleat;SPIKE;CORUM	12374742	SIGNOR:SIGNOR-C97;CORUM:2907;Compleat:HC1889
RBPJ/NOTCH	P46531_Q04721_Q06330	NOTCH1_NOTCH2_RBPJ	0:0:0	SIGNOR		SIGNOR:SIGNOR-C97
RBPJ/NOTCH	P46531_Q06330_Q99466	NOTCH1_NOTCH4_RBPJ	0:0:0	SIGNOR		SIGNOR:SIGNOR-C97
RBPJ/NOTCH	P46531_Q06330_Q9UM47	NOTCH1_NOTCH3_RBPJ	0:0:0	SIGNOR		SIGNOR:SIGNOR-C97
gamma-secretase	P49768_Q92542_Q96BI3_Q9NZ42	APH1A_NCSTN_PSEN1_PSENEN	2:1:1:1	SIGNOR;Compleat;CORUM;PDB;ComplexPortal;KEGG-MEDICUS	10206645;16636269;26280335;15274632;14755292;12740439;15286082	SIGNOR:SIGNOR-C98;CORUM:43;Compleat:HC220;intact:EBI-9008763;PDB:6lqg;PDB:8kcs;PDB:8kct;PDB:5A63;PDB:8k8e;PDB:8im7;PDB:7c9i;PDB:5fn5;PDB:5fn4;PDB:6lr4;PDB:8kcp;PDB:5fn3;PDB:5a63;PDB:5FN5;PDB:8kco;PDB:7d8x;PDB:8kcu;PDB:7y5t;PDB:EMD-3061;PDB:5fn2
ULK1/Atg13/Fip200	O75143_O75385_Q8TDY2	ATG13_RB1CC1_ULK1	1:1:2	PDB;SIGNOR;Compleat;CORUM	19211835;26921696	SIGNOR:SIGNOR-C100;CORUM:6229;Compleat:HC421;PDB:8soi;PDB:8srm;PDB:8sqz
TSC	P49815_Q92574	TSC1_TSC2	1:1	SIGNOR;Compleat;CORUM;SPIKE;KEGG-MEDICUS	15972957;14651849	SIGNOR:SIGNOR-C101;CORUM:75;Compleat:HC2874
NLI/Lmx1.1/Isl1	P61371_Q8TE12_Q9GZU7	CTDSP1_ISL1_LMX1A	0:0:0	SIGNOR		SIGNOR:SIGNOR-C103
RFX complex	O00287_O14593_P48382	RFX5_RFXANK_RFXAP	1:1:2	SIGNOR;ComplexPortal;Compleat;CORUM	20732328;14755292;18319249;20637319	SIGNOR:SIGNOR-C104;CORUM:6133;Compleat:HC2208;intact:EBI-26656061;PDB:3V30;PDB:2kw3
CoREST-HDAC complex	O60341_O75362_Q13547_Q92769_Q9UKL0	HDAC1_HDAC2_KDM1A_RCOR1_ZNF217	0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C105
LMX1B/SFPQ/PSPC1 complex	O60663_P23246_Q8WXF1	LMX1B_PSPC1_SFPQ	0:0:0	SIGNOR		SIGNOR:SIGNOR-C106
DNA-PK	P12956_P13010_P78527	PRKDC_XRCC5_XRCC6	2:2:2	SIGNOR;Compleat;CORUM;PDB;KEGG-MEDICUS	9442054;1465419;8486698;16713581;8422676	SIGNOR:SIGNOR-C107;CORUM:322;Compleat:HC290;PDB:7z88;PDB:7z87;PDB:7k1k;PDB:7k1j;PDB:5y3r;PDB:7su3;PDB:7k1n;PDB:6zha;PDB:6zhe;PDB:7k0y
NC2 complex	Q01658_Q14919	DR1_DRAP1	1:1	SIGNOR;ComplexPortal;Compleat;hu.MAP	32238450;14755292;11461703;8948634	SIGNOR:SIGNOR-C108;Compleat:HC3234
ATG12/5/16L1	O94817_Q676U5_Q9H1Y0	ATG12_ATG16L1_ATG5	2:2:2	SIGNOR;Compleat;PDB;ComplexPortal;KEGG-MEDICUS	12665549;14755292;24553140	SIGNOR:SIGNOR-C109;Compleat:HC3487;intact:EBI-10955195;PDB:4gdl;PDB:4gdk;PDB:4tq0
GSK3B/Axin/APC	O15169_P25054_P49841	APC_AXIN1_GSK3B	0:0:0	KEGG-MEDICUS;SIGNOR		SIGNOR:SIGNOR-C110
REST-CoREST	Q13127_Q9UKL0	RCOR1_REST	0:0	SIGNOR		SIGNOR:SIGNOR-C111
PARD6/SMURF1	Q9HCE7_Q9NPB6	PARD6A_SMURF1	1:1	SIGNOR;Compleat	15761148	SIGNOR:SIGNOR-C112;Compleat:HC2660
RAGAC	Q7L523_Q9HB90	RRAGA_RRAGC	2:2	PDB;SIGNOR;ComplexPortal	23723238;14755292;31601764;36097072	SIGNOR:SIGNOR-C113;intact:EBI-9019356;PDB:6S6D;PDB:6s6d;PDB:6s6a;PDB:6S6A
RAGAD	Q7L523_Q9NQL2	RRAGA_RRAGD	1:1	SIGNOR;ComplexPortal;hu.MAP2;hu.MAP	23723238;14755292;31601764;36097072	SIGNOR:SIGNOR-C114;intact:EBI-9018476
RAGBC	Q5VZM2_Q9HB90	RRAGB_RRAGC	1:1	SIGNOR;ComplexPortal	23723238;14755292;31601764;36097072	SIGNOR:SIGNOR-C115;intact:EBI-9018533
RAGBD	Q5VZM2_Q9NQL2	RRAGB_RRAGD	1:1	hu.MAP3;SIGNOR;ComplexPortal	23723238;14755292;31601764;36097072	SIGNOR:SIGNOR-C116;intact:EBI-1252990
