name	components	components_genesymbols	stoichiometry	sources	references	identifiers
GUCY1A2-B2	O75343_P33402	GUCY1A2_GUCY1B2	0:0	SIGNOR		SIGNOR:SIGNOR-C137
GUCY1A2-B3	P33402_Q02153	GUCY1A2_GUCY1B1	1:1	SIGNOR;ComplexPortal;Compleat;CORUM	23505436;2466984;14755292;1683630	SIGNOR:SIGNOR-C138;CORUM:407;Compleat:HC1950;intact:EBI-9027104
GUCY1A3-B2	O75343_Q02108	GUCY1A1_GUCY1B2	0:0	SIGNOR		SIGNOR:SIGNOR-C139
GUCY1A3-B3	Q02108_Q02153	GUCY1A1_GUCY1B1	2:2	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;ComplexPortal	36972843;23505436;2466984;14755292;1683630	SIGNOR:SIGNOR-C140;CORUM:408;Compleat:HC822;intact:EBI-12683983;PDB:7d9r;PDB:6jt1;PDB:4ni2;PDB:7d9s;PDB:8hbf;PDB:7d9t;PDB:3uvj;PDB:7d9u;PDB:8hbe;PDB:6JT0;PDB:6jt0;PDB:6jt2;PDB:8hbh
IFNGR2/INFGR1	P15260_P38484	IFNGR1_IFNGR2	0:0	SIGNOR;Cellinker;ICELLNET;SPIKE;CellChatDB;Guide2Pharma	15032600	SIGNOR:SIGNOR-C142
CyclinD1/CDK6	P24385_Q00534	CCND1_CDK6	1:1	SIGNOR;Compleat;CORUM;ComplexPortal;KEGG-MEDICUS	8114739;9447971;14755292	SIGNOR:SIGNOR-C143;CORUM:3087;Compleat:HC3409;intact:EBI-768466
CDK5/CDK5R1	Q00535_Q15078	CDK5_CDK5R1	2:2	PDB;SIGNOR;ComplexPortal;Compleat	18507738;14755292;17295212;16039528	SIGNOR:SIGNOR-C144;Compleat:HC1957;reactome:R-HSA-421098;reactome:R-HSA-421107;intact:EBI-9009221;intact:EBI-9633559;PDB:1h4l;PDB:1unh;PDB:3o0g;PDB:7vds;PDB:7vdq;PDB:7vdp;PDB:1ung;PDB:7vdr;PDB:1unl
ARP2/3	O15144_O15145_O15511_P59998_P61158_P61160_Q92747	ACTR2_ACTR3_ARPC1A_ARPC2_ARPC3_ARPC4_ARPC5	1:1:1:1:1:1:1	PDB;SIGNOR;ComplexPortal	26655834;32661131;14755292	SIGNOR:SIGNOR-C146;PDB:6yw7
MRE11/RAD50/NBS1	O60934_P49959_Q92878	MRE11_NBN_RAD50	2:2:2	SIGNOR;Compleat;CORUM;ComplexPortal;SPIKE;KEGG-MEDICUS	29709199;10612394;22078559;8756642;12949583;9705271;18522810;14755292;31147924;9590181;10346816;15039997;28867292;12917393;26512707;16163361	SIGNOR:SIGNOR-C147;CORUM:71;Compleat:HC67;reactome:R-HSA-5682022;reactome:R-HSA-5685986;reactome:R-HSA-75164;reactome:R-HSA-5686620;reactome:R-HSA-5687646;reactome:R-HSA-5684116;reactome:R-HSA-3785763;reactome:R-HSA-5687666;reactome:R-HSA-5682166;reactome:R-HSA-5682175;reactome:R-HSA-5687502;intact:EBI-21497713;PDB:3t1i;PDB:5gox
APC-c	P30260_Q13042_Q8NHZ8_Q9BS18_Q9H1A4_Q9NYG5_Q9UJX2_Q9UJX3_Q9UJX4_Q9UJX5_Q9UJX6_Q9UM13	ANAPC1_ANAPC10_ANAPC11_ANAPC13_ANAPC2_ANAPC4_ANAPC5_ANAPC7_CDC16_CDC23_CDC26_CDC27	0:0:0:0:0:0:0:0:0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C150
Noncanonical PRC1	P63208_Q6W2J9_Q99496_Q9BSM1	BCOR_PCGF1_RNF2_SKP1	0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C151
PAX2/TLE4	Q02962_Q04727	PAX2_TLE4	0:0	SIGNOR		SIGNOR:SIGNOR-C152
AP1	P01100_P05412	FOS_JUN	2:2	PDB;SIGNOR;ComplexPortal	7816143;8628277;23661758;9443941;14755292;28186491;14668816	SIGNOR:SIGNOR-C154;reactome:R-HSA-450327;intact:EBI-11890798;PDB:1fos
Calcineurin	P63098_Q08209	PPP3CA_PPP3R1	2:2	SIGNOR;CORUM;PDB;SPIKE;KEGG-MEDICUS	8524402	SIGNOR:SIGNOR-C155;CORUM:6023;PDB:1aui;PDB:2p6b
PI3K	P27986_P42336	PIK3CA_PIK3R1	2:2	SIGNOR;Compleat;CORUM;PDB;ComplexPortal;KEGG-MEDICUS	24587488;14755292;20379207;18079394	SIGNOR:SIGNOR-C156;CORUM:3133;Compleat:HC1468;intact:EBI-9014183;intact:EBI-25751167;intact:EBI-25751125;PDB:8tsa;PDB:5xgh;PDB:5sx8;PDB:7myo;PDB:5sw8;PDB:5sx9;PDB:4ovv;PDB:7myn;PDB:8ts7;PDB:4jps;PDB:8tgd;PDB:8w9a;PDB:5sxa;PDB:5swt;PDB:8v8h;PDB:5swg;PDB:6nct;PDB:7pg5;PDB:8tsc;PDB:8dcp;PDB:4waf;PDB:5sxk;PDB:8tsb;PDB:3hhm;PDB:5sxj;PDB:8tu6;PDB:8tsd;PDB:8dcx;PDB:8ils;PDB:8w9b;PDB:5swp;PDB:5sxd;PDB:5ul1;PDB:4ovu;PDB:8am0;PDB:5sxf;PDB:5sxe;PDB:8sbc;PDB:4l1b;PDB:8ts9;PDB:8v8u;PDB:5swr;PDB:3hiz;PDB:5xgi;PDB:5itd;PDB:2v1y;PDB:8ts8;PDB:8ilr;PDB:8sbj;PDB:8v8j;PDB:8ilv;PDB:5swo;PDB:5uk8;PDB:5ukj;PDB:8v8v;PDB:5sxc;PDB:2rd0;PDB:8v8i;PDB:8dd4;PDB:5sxb;PDB:8dd8;PDB:5sxi;PDB:8gub;PDB:4zop;PDB:5xgj;PDB:7pg6;PDB:4l2y;PDB:7tz7;PDB:8tdu;PDB:5fi4;PDB:4l23
LE-TGN  SNARE	O14662_O60499_Q15836_Q96AJ9	STX10_STX16_VAMP3_VTI1A	0:0:0:0	SIGNOR		SIGNOR:SIGNOR-C157
SMN complex	O14893_P57678_Q16637_Q8TEQ6_Q8WXD5_Q9H840_Q9UHI6	DDX20_GEMIN2_GEMIN4_GEMIN5_GEMIN6_GEMIN7_SMN1	1:1:1:1:1:1:1	SIGNOR;Compleat;CORUM	12065586	SIGNOR:SIGNOR-C158;CORUM:1752;Compleat:HC1595
A1/b1 integrin	P05556_P56199	ITGA1_ITGB1	1:1	SIGNOR;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	26857815;12297042;17671519;15147720;15361064;19693543;14755292;16988024;21421911	SIGNOR:SIGNOR-C159;CellPhoneDB:integrin_a1b1_complex;intact:EBI-2554495
A2/b1 integrin	P05556_P17301	ITGA2_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	26857815;12297042;15240572;15147720;19693543;11278606;14755292;3546305;16988024;12392763;21421911	SIGNOR:SIGNOR-C160;CORUM:2432;CellPhoneDB:integrin_a2b1_complex;Compleat:HC2259;reactome:R-HSA-114561;intact:EBI-2565102
A3/b1 integrin	P05556_P26006	ITGA3_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;15361064;11278606;33731188;14755292;3546305;19693543;12887919	SIGNOR:SIGNOR-C161;CORUM:2406;CellPhoneDB:integrin_a3b1_complex;Compleat:HC160;reactome:R-HSA-204444;intact:EBI-2550808
A4/b1 integrin	P05556_P13612	ITGA4_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;11839764;11053440;29440144;15263094;33731188;12070135;9547293;3546305;30819933;14755292;19693543;10587647;11724793;17274987	SIGNOR:SIGNOR-C162;CORUM:2418;CellPhoneDB:integrin_a4b1_complex;Compleat:HC1509;intact:EBI-2565117;reactome:R-HSA-198201
A5/b1 integrin	P05556_P08648	ITGA5_ITGB1	2:2	SIGNOR;Compleat;CORUM;PDB;Cellinker;ComplexPortal;ICELLNET;KEGG-MEDICUS;CellChatDB;Guide2Pharma;CellPhoneDB	10816592;12297042;10673366;12695522;29440144;20686071;14709558;15576472;14970227;25635707;14755292;33731188;28676852;3546305;9396761;19693543;22461623;15781448	SIGNOR:SIGNOR-C163;CORUM:2385;CellPhoneDB:integrin_a5b1_complex;Compleat:HC532;intact:EBI-2550721;reactome:R-HSA-202730;PDB:9ckv;PDB:9dia;PDB:9b9k;PDB:4wjk;PDB:4wk0;PDB:4wk4;PDB:9b9j;PDB:4wk2;PDB:3vi4;PDB:3vi3;PDB:7nxd;PDB:9ef2
A6/b1 integrin	P05556_P23229	ITGA6_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;15361064;14755292;18851943;19693543;2649503	SIGNOR:SIGNOR-C164;CORUM:2413;CellPhoneDB:integrin_a6b1_complex;Compleat:HC1933;intact:EBI-2565268
A8/b1 integrin	P05556_P53708	ITGA8_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;hu.MAP3;CellChatDB;CellPhoneDB	12297042;7559467;33731188;14755292;19693543;9614184	SIGNOR:SIGNOR-C165;CORUM:2439;CellPhoneDB:integrin_a8b1_complex;Compleat:HC1535;reactome:R-HSA-216012;intact:EBI-2567920
A9/b1 integrin	P05556_Q13797	ITGA9_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	10816592;8798654;15247268;8910476;12297042;11839764;11882657;10871287;14755292;10209034;19693543	SIGNOR:SIGNOR-C166;CORUM:2444;CellPhoneDB:integrin_a9b1_complex;Compleat:HC1551;intact:EBI-2567957;reactome:R-HSA-216011
A10/b1 integrin	O75578_P05556	ITGA10_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	26857815;12297042;15147720;19693543;14755292;9685391;16988024;21421911	SIGNOR:SIGNOR-C167;CORUM:3057;CellPhoneDB:integrin_a10b1_complex;Compleat:HC127;intact:EBI-2568006;reactome:R-HSA-215987
A11/b1 integrin	P05556_Q9UKX5	ITGA11_ITGB1	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	26857815;12297042;15147720;19693543;14755292;16988024;10464311;21421911	SIGNOR:SIGNOR-C168;CORUM:3058;CellPhoneDB:integrin_a11b1_complex;Compleat:HC1025;intact:EBI-2568044
AL/b2 integrin	P05107_P20701	ITGAL_ITGB2	3:3	SIGNOR;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;10940895;10741396;10427988;23418628;11812992;14755292;35922511;19693543	SIGNOR:SIGNOR-C169;CellPhoneDB:integrin_aLb2_complex;reactome:R-HSA-198196;intact:EBI-2568233;PDB:5e6s;PDB:5e6r;PDB:5e6u
AM/b2 integrin	P05107_P11215	ITGAM_ITGB2	1:1	SIGNOR;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;15004192;14530377;8786317;7621072;16601240;4062888;16093349;6943205;35922511;28676852;18083624;19693543;22461623;14755292	SIGNOR:SIGNOR-C170;CellPhoneDB:integrin_aMb2_complex;reactome:R-HSA-202755;intact:EBI-2568294;PDB:7usm;PDB:7p2d
AX/b2 integrin	P05107_P20702	ITGAX_ITGB2	4:4	SIGNOR;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;16252253;7621072;4062888;15850796;14755292;19693543	SIGNOR:SIGNOR-C171;CellPhoneDB:integrin_aXb2_complex;reactome:R-HSA-202766;intact:EBI-2568341;PDB:5es4;PDB:3k71;PDB:4neh;PDB:4nen;PDB:3k6s;PDB:3k72
AD/b2 integrin	P05107_Q13349	ITGAD_ITGB2	1:1	SIGNOR;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	16943205;12297042;14755292;8777714;19693543	SIGNOR:SIGNOR-C172;CellPhoneDB:integrin_aDb2_complex;intact:EBI-2568401;reactome:R-HSA-216026
AIIB/b3 integrin	P05106_P08514	ITGA2B_ITGB3	3:3	SIGNOR;Compleat;CORUM;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;19693543;33731188;8132607;14755292;9396761;11875495;22461623;26867579	SIGNOR:SIGNOR-C173;CORUM:2381;CellPhoneDB:integrin_a2Bb3_complex;Compleat:HC1789;reactome:R-HSA-432105;reactome:R-HSA-114513;reactome:R-HSA-432107;reactome:R-HSA-114514;intact:EBI-2554508;PDB:7u60;PDB:7uh8;PDB:7ukp;PDB:7udh;PDB:3nig;PDB:9axl;PDB:7td8;PDB:7ue0;PDB:6v4p;PDB:1m8o;PDB:8gce;PDB:2vdn;PDB:7uk9;PDB:7ukt;PDB:7u9f;PDB:2vc2;PDB:2vdl;PDB:2n9y;PDB:3t3p;PDB:7udg;PDB:7ucy;PDB:7tpd;PDB:3zdx;PDB:9deq;PDB:3ze0;PDB:5hdb;PDB:9dao;PDB:2k9j;PDB:3zdz;PDB:9der;PDB:9dax;PDB:3nif;PDB:7kn0;PDB:7ujk;PDB:7uko;PDB:7l8p;PDB:2knc;PDB:7tho;PDB:4z7o;PDB:7la4;PDB:2vdm;PDB:2vdk;PDB:3t3m;PDB:7uje;PDB:3fcs;PDB:7u9v;PDB:4z7q;PDB:3ze1;PDB:3zdy;PDB:8t2v;PDB:3fcu;PDB:1kup;PDB:8gcd;PDB:3nid;PDB:8t2u;PDB:7tct;PDB:1kuz;PDB:4cak;PDB:7ufh;PDB:4z7n;PDB:3ze2;PDB:1tye;PDB:7ubr;PDB:7tmz
A6/b4 integrin	P16144_P23229	ITGA6_ITGB4	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;CellChatDB;CellPhoneDB	19693543;14755292;12297042;2649503	SIGNOR:SIGNOR-C174;CORUM:2323;CellPhoneDB:integrin_a6b4_complex;Compleat:HC714;intact:EBI-2568184
Av/b1 integrin	P05556_P06756	ITGAV_ITGB1	1:1	SIGNOR;Compleat;hu.MAP2;CORUM;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;10673366;15361064;2138612;33731188;14755292;9396761;19693543;8314844	SIGNOR:SIGNOR-C175;CORUM:2436;CellPhoneDB:integrin_aVb1_complex;Compleat:HC148;reactome:R-HSA-216015;intact:EBI-2568057;PDB:8w30
Av/b2 integrin	P05107_P06756	ITGAV_ITGB2	0:0	SIGNOR		SIGNOR:SIGNOR-C176
Av/b3 integrin	P05106_P06756	ITGAV_ITGB3	1:1	SIGNOR;Compleat;CORUM;PDB;Cellinker;ComplexPortal;ICELLNET;KEGG-MEDICUS;CellChatDB;Guide2Pharma;CellPhoneDB	12695522;11053440;20686071;28968187;15576472;9314546;9396761;28846069;8798654;9686320;12297042;28302677;33731188;20027628;16982628;29212879;22560905;18441324;12615913;14755292;10037797;7532190;11331280;14985115;11877390;19693543	SIGNOR:SIGNOR-C177;CORUM:2816;CellPhoneDB:integrin_aVb3_complex;Compleat:HC287;intact:EBI-2550735;reactome:R-HSA-210216;PDB:8ij5;PDB:1U8C;PDB:4g1m;PDB:6avq;PDB:4o02;PDB:1l5g;PDB:8xez;PDB:8xfg;PDB:6mk0;PDB:8xen;PDB:3ije;PDB:8xfo;PDB:8xer;PDB:8xek;PDB:1u8c;PDB:4g1e;PDB:8xel;PDB:6avr;PDB:8xei;PDB:1jv2;PDB:1m1x;PDB:8xf6;PDB:6avu
Av/b5 integrin	P06756_P18084	ITGAV_ITGB5	1:1	SIGNOR;Compleat;CORUM;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;7685013;11162558;10673366;1694173;28968187;22560905;12615913;14755292;14980512;19693543	SIGNOR:SIGNOR-C178;CORUM:2350;CellPhoneDB:integrin_aVb5_complex;Compleat:HC2685;reactome:R-HSA-1236906;intact:EBI-2550754
Av/b6 integrin	P06756_P18564	ITGAV_ITGB6	2:2	SIGNOR;Compleat;CORUM;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	8798654;12297042;25383667;33731188;14755292;19693543;8120056	SIGNOR:SIGNOR-C179;CORUM:2354;CellPhoneDB:integrin_aVb6_complex;Compleat:HC3169;reactome:R-HSA-216024;intact:EBI-2568099;PDB:9czd;PDB:5ffg;PDB:9cza;PDB:4um8;PDB:9czf;PDB:4UM9;PDB:9cz7;PDB:8tcg;PDB:4UM8;PDB:5FFG
Laminin-9	P11047_P55268_Q16363	LAMA4_LAMB2_LAMC1	1:1:1	SIGNOR;ComplexPortal	17453709;14755292	SIGNOR:SIGNOR-C180;intact:EBI-2529945
Laminin-8	P07942_P11047_Q16363	LAMA4_LAMB1_LAMC1	1:1:1	SIGNOR;ComplexPortal	17453709;14755292	SIGNOR:SIGNOR-C181;reactome:R-HSA-2328173;intact:EBI-2529931
Laminin-10	O15230_P07942_P11047	LAMA5_LAMB1_LAMC1	2:2:2	PDB;SIGNOR;ComplexPortal;Compleat	17453709;14755292;10964500;16236823	SIGNOR:SIGNOR-C182;Compleat:HC3280;reactome:R-HSA-3791167;intact:EBI-2529959;PDB:5xau
Laminin-1	P07942_P11047_P25391	LAMA1_LAMB1_LAMC1	1:1:1	SIGNOR;ComplexPortal	17453709;14755292	SIGNOR:SIGNOR-C183;reactome:R-HSA-215989;intact:EBI-2529702
Laminin-5	Q13751_Q13753_Q16787	LAMA3_LAMB3_LAMC2	1:1:1	SIGNOR;ComplexPortal	17453709;14755292	SIGNOR:SIGNOR-C184;intact:EBI-9663928;intact:EBI-2529819;reactome:R-HSA-216001;reactome:R-HSA-2533911
Av/b8 integrin	P06756_P26012	ITGAV_ITGB8	4:4	SIGNOR;PDB;Cellinker;ComplexPortal;CellChatDB;CellPhoneDB	19693543;14755292;12297042;30061598	SIGNOR:SIGNOR-C185;CellPhoneDB:integrin_aVb8_complex;reactome:R-HSA-216307;intact:EBI-2568170;PDB:6OM1;PDB:6ujb;PDB:6ujc;PDB:6djp;PDB:8tcf;PDB:6om1;PDB:6DJP;PDB:9ind
AE/b7 integrin	P26010_P38570	ITGAE_ITGB7	1:1	SIGNOR;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	19693543;14755292;12297042;9425167	SIGNOR:SIGNOR-C186;CellPhoneDB:integrin_aEb7_complex;intact:EBI-2568216;reactome:R-HSA-265415;PDB:8zjf
A4/b7 integrin	P13612_P26010	ITGA4_ITGB7	2:2	SIGNOR;PDB;Cellinker;ComplexPortal;ICELLNET;CellChatDB;CellPhoneDB	12297042;22232704;20118278;33731188;14755292;19693543	SIGNOR:SIGNOR-C187;CellPhoneDB:integrin_a4b7_complex;intact:EBI-2568198;reactome:R-HSA-198927;PDB:3v4p;PDB:3v4v
SETDB1/NLK/CHD7	Q15047_Q9P2D1_Q9UBE8	CHD7_NLK_SETDB1	0:0:0	SIGNOR		SIGNOR:SIGNOR-C189
PAS complex	Q08AM6_Q92562_Q9Y2I7	FIG4_PIKFYVE_VAC14	5:1:1	SIGNOR;ComplexPortal;hu.MAP2	33098764;14755292;18950639	SIGNOR:SIGNOR-C190;intact:EBI-61246187;PDB:7K1Y
WRC complex	Q7L576_Q8IZP0_Q8WUW1_Q92558_Q9Y2A7	ABI1_BRK1_CYFIP1_NCKAP1_WASF1	0:0:0:0:0	KEGG-MEDICUS;SIGNOR		SIGNOR:SIGNOR-C191
GATOR1	O75140_Q12980_Q8WTW4	DEPDC5_NPRL2_NPRL3	1:1:1	SIGNOR;CORUM;PDB;ComplexPortal;KEGG-MEDICUS	23723238;14755292	SIGNOR:SIGNOR-C192;CORUM:6215;intact:EBI-26361420;reactome:R-HSA-9638242;PDB:6cet
GATOR2	P55735_Q6PJI9_Q96EE3_Q96S15_Q9NXC5	MIOS_SEC13_SEH1L_WDR24_WDR59	1:1:3:1:2	PDB;SIGNOR;ComplexPortal;CORUM	23723238;14755292	SIGNOR:SIGNOR-C193;CORUM:6216;intact:EBI-26361445;PDB:7uhy
CLOCK/BMAL1	O00327_O15516	BMAL1_CLOCK	1:1	SIGNOR;hu.MAP2;CORUM;PDB;ComplexPortal;SPIKE	23887727;14755292;9576906	SIGNOR:SIGNOR-C195;CORUM:7272;intact:EBI-9696921;PDB:4h10
CLOCK/BMAL2	O15516_Q8WYA1	BMAL2_CLOCK	1:1	SIGNOR;ComplexPortal	23887727;14755292	SIGNOR:SIGNOR-C196;intact:EBI-9696951;reactome:R-HSA-879827
CBFA2T3/ZNF651	O75081_Q9UFB7	CBFA2T3_ZBTB47	0:0	SIGNOR		SIGNOR:SIGNOR-C197
SNAIL/RELA/PARP1	O95863_P09874_Q04206	PARP1_RELA_SNAI1	0:0:0	SIGNOR		SIGNOR:SIGNOR-C198
FCER1G/FCER1G	P30273	FCER1G	0	SIGNOR		SIGNOR:SIGNOR-C199
FCER1	P12319_Q01362	FCER1A_MS4A2	0:0	SIGNOR		SIGNOR:SIGNOR-C200
GNB/GNG	P59768_P62873	GNB1_GNG2	1:1	PDB;SIGNOR		SIGNOR:SIGNOR-C202;PDB:8iru
SMAD2/STAT3/EP300	P40763_Q09472_Q15796	EP300_SMAD2_STAT3	0:0:0	SIGNOR		SIGNOR:SIGNOR-C203
SMAD3/PIAS3	P84022_Q9Y6X2	PIAS3_SMAD3	0:0	SIGNOR		SIGNOR:SIGNOR-C204
SMAD1/5/8/SMAD4	Q13485_Q99717	SMAD4_SMAD5	0:0	SIGNOR		SIGNOR:SIGNOR-C215
SMAD1/5/8/SMAD4	O15198_Q13485	SMAD4_SMAD9	0:0	SIGNOR		SIGNOR:SIGNOR-C215
Neurofilament L/M	P07196_P07197	NEFL_NEFM	0:0	SIGNOR		SIGNOR:SIGNOR-C207
Neurofilament L/H	P07196_P12036	NEFH_NEFL	0:0	SIGNOR		SIGNOR:SIGNOR-C208
Hemoglobin	P68871_P69905	HBA2_HBB	2:2	PDB;SIGNOR;ComplexPortal	7518430;14755292;8292032;16765986	SIGNOR:SIGNOR-C209;intact:EBI-9008420;reactome:R-HSA-2168866;reactome:R-HSA-2168856;reactome:R-HSA-1237312;PDB:6nbd;PDB:1j41;PDB:1y83;PDB:1qxe;PDB:6l5x;PDB:1y45;PDB:3dut;PDB:1rq3;PDB:1o1k;PDB:1hbb;PDB:3d17;PDB:8fdl;PDB:1y7d;PDB:8fdn;PDB:1gzx;PDB:1c7c;PDB:6kar;PDB:6bnr;PDB:1y4g;PDB:1yzi;PDB:3s66;PDB:4n7n;PDB:9av9;PDB:6kah;PDB:1xye;PDB:4ni1;PDB:6nq5;PDB:9cqs;PDB:3ic2;PDB:1gbv;PDB:1xz2;PDB:1ird;PDB:2dxm;PDB:3ic0;PDB:4m4a;PDB:1dxt;PDB:1bab;PDB:1dxu;PDB:7k4m;PDB:4m4b;PDB:1hbs;PDB:5x2r;PDB:1ydz;PDB:1o1l;PDB:5x2u;PDB:1ye2;PDB:1sdk;PDB:7aeu;PDB:7xgy;PDB:7jy1;PDB:1y7c;PDB:7dy3;PDB:1y7g;PDB:8wj0;PDB:1xy0;PDB:4n7o;PDB:1ye1;PDB:3r5i;PDB:8wj1;PDB:1qxd;PDB:3wcp;PDB:9vic;PDB:1y46;PDB:1a0u;PDB:1dke;PDB:1kd2;PDB:1k0y;PDB:7jy0;PDB:1yev;PDB:1o1n;PDB:4mqh;PDB:2hco;PDB:4ni0;PDB:1rqa;PDB:9cqn;PDB:1aj9;PDB:1y31;PDB:5sw7;PDB:1y0d;PDB:1lft;PDB:1yvt;PDB:5wog;PDB:1a3o;PDB:1nih;PDB:1o1i;PDB:1lfl;PDB:2hbs;PDB:6l5y;PDB:1y22;PDB:8fdm;PDB:7uvb;PDB:7aet;PDB:1yie;PDB:3odq;PDB:7uf6;PDB:6kap;PDB:5ksi;PDB:9cqo;PDB:2hbd;PDB:7uf7;PDB:5e29;PDB:6kat;PDB:7ud7;PDB:3s65;PDB:6kye;PDB:1y4f;PDB:1y5k;PDB:6bwu;PDB:1xz7;PDB:6l5w;PDB:1y0t;PDB:1y0w;PDB:8wj2;PDB:1hab;PDB:7jxz;PDB:7aev;PDB:3d7o;PDB:3onz;PDB:1hba;PDB:7dy4;PDB:6kao;PDB:1bbb;PDB:1bz0;PDB:9cqr;PDB:1aby;PDB:9vib;PDB:2hbf;PDB:1mko;PDB:4mqi;PDB:9cqq;PDB:1gli;PDB:5x2s;PDB:6hal;PDB:1hco;PDB:1lfv;PDB:6bwp;PDB:1j40;PDB:1y35;PDB:9cqu;PDB:1c7d;PDB:7vde;PDB:1uiw;PDB:3nmm;PDB:1lfq;PDB:6hk2;PDB:1y5f;PDB:8egi;PDB:5ni1;PDB:7jjq;PDB:2hbc;PDB:1xz4;PDB:6kae;PDB:1yvq;PDB:3b75;PDB:3kmf;PDB:1ygf;PDB:6nbc;PDB:1a0z;PDB:3hhb;PDB:6l5v;PDB:1yeq;PDB:1o1m;PDB:1xzu;PDB:1b86;PDB:6xd9;PDB:1ye0;PDB:6hbw;PDB:3p5q;PDB:1yih;PDB:1y8w;PDB:1qi8;PDB:1hgb;PDB:2d5z;PDB:4hhb;PDB:9ayz;PDB:1bzz;PDB:1k1k;PDB:8fdk;PDB:9cqv;PDB:1j3y;PDB:5woh;PDB:1abw;PDB:4l7y;PDB:4rom;PDB:1xxt;PDB:5e6e;PDB:1hho;PDB:8vyl;PDB:1xzv;PDB:1coh;PDB:3whm;PDB:1dxv;PDB:1r1y;PDB:1ljw;PDB:9cqt;PDB:1nej;PDB:1sdl;PDB:1cmy;PDB:4rol;PDB:1r1x;PDB:2dn3;PDB:3qjb;PDB:1o1j;PDB:1yhr;PDB:1ygd;PDB:6di4;PDB:6lcw;PDB:2hhe;PDB:1j7y;PDB:1j7s;PDB:1yff;PDB:5kdq;PDB:5urc;PDB:3qjc;PDB:1yg5;PDB:1bij;PDB:2hhb;PDB:1yhe;PDB:6kaq;PDB:1a00;PDB:1m9p;PDB:3qjd;PDB:1qsi;PDB:1yh9;PDB:1hgc;PDB:4n7p;PDB:1lfy;PDB:6kav;PDB:1y0a;PDB:1y5j;PDB:2w72;PDB:1lfz;PDB:5x2t;PDB:1qsh;PDB:1y7z;PDB:1gbu;PDB:1y4v;PDB:1a01;PDB:6kas;PDB:3oo5;PDB:6xdt;PDB:1y4q;PDB:1thb;PDB:7jy3;PDB:1y2z;PDB:5ksj;PDB:1xz5;PDB:1y85;PDB:1o1p;PDB:5u3i;PDB:5ufj;PDB:6kai;PDB:1yen;PDB:1nqp;PDB:7ud8;PDB:1jy7;PDB:9cqp;PDB:1a3n;PDB:2dn1;PDB:3hxn;PDB:1yeo;PDB:5e83;PDB:1cls;PDB:1j3z;PDB:1g9v;PDB:1buw;PDB:6lcx;PDB:2hbe;PDB:4n8t;PDB:1y0c;PDB:1y4r;PDB:6ka9;PDB:4mqg;PDB:1j7w;PDB:1hga;PDB:9cqw;PDB:1c7b;PDB:3qje;PDB:1o1o;PDB:2w6v;PDB:5hy8;PDB:2m6z;PDB:1y09;PDB:2yrs;PDB:1y4b;PDB:1rq4;PDB:1rvw;PDB:1rps;PDB:3nl7;PDB:4mqc;PDB:5ucu;PDB:2hhd;PDB:1hdb;PDB:9cqm;PDB:1vwt;PDB:2h35;PDB:6xe7;PDB:1hac;PDB:6kau;PDB:1fn3;PDB:2d60;PDB:6bb5;PDB:1bz1;PDB:1yeu;PDB:1y4p;PDB:2dn2;PDB:3oo4
FN1/SDC4	P02751_P31431	FN1_SDC4	0:0	SIGNOR		SIGNOR:SIGNOR-C210
RUNX2/EP300	Q09472_Q13950	EP300_RUNX2	0:0	SIGNOR		SIGNOR:SIGNOR-C211
