source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	omnipath	kinaseextra	ligrecextra	pathwayextra	mirnatarget	dorothea	collectri	tf_target	lncrna_mrna	tf_mirna	small_molecule	dorothea_curated	dorothea_chipseq	dorothea_tfbs	dorothea_coexp	dorothea_level	type	curation_effort	extra_attrs	evidences	ncbi_tax_id_source	entity_type_source	ncbi_tax_id_target	entity_type_target
Q92858	Q9BZE3	ATOH1	BARHL1	1	1	0	1	1	0	SPIKE;SPIKE_LC	SPIKE:18212062;SPIKE_LC:18212062	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Transcription Regulation""}"	"{""id_a"":""Q92858"",""id_b"":""Q9BZE3"",""positive"":[{""resource"":""SPIKE"",""references"":[""18212062""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""18212062""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}}],""negative"":[],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
Q8WXG9	O43306	ADGRV1	ADCY6	1	0	1	1	0	1	SPIKE;SPIKE_LC	SPIKE:17567809;SPIKE_LC:17567809	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""2"",""SPIKE_mechanism"":""Other"",""SPIKE_LC_effect"":""2"",""SPIKE_LC_mechanism"":""Other""}"	"{""id_a"":""Q8WXG9"",""id_b"":""O43306"",""positive"":[],""negative"":[{""resource"":""SPIKE"",""references"":[""17567809""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Other""}},{""resource"":""SPIKE_LC"",""references"":[""17567809""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Other""}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
Q02535	Q92858	ID3	ATOH1	1	0	1	1	0	1	SPIKE;SPIKE_LC	SPIKE:16407553;SPIKE_LC:16407553	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""2"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""2"",""SPIKE_LC_mechanism"":""Transcription Regulation""}"	"{""id_a"":""Q02535"",""id_b"":""Q92858"",""positive"":[],""negative"":[{""resource"":""SPIKE"",""references"":[""16407553""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""16407553""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
Q02363	Q92858	ID2	ATOH1	1	0	1	1	0	1	SPIKE;SPIKE_LC	SPIKE:16407553;SPIKE_LC:16407553	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""2"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""2"",""SPIKE_LC_mechanism"":""Transcription Regulation""}"	"{""id_a"":""Q02363"",""id_b"":""Q92858"",""positive"":[],""negative"":[{""resource"":""SPIKE"",""references"":[""16407553""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""16407553""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P46531	Q06710	NOTCH1	PAX8	1	1	0	1	1	0	SPIKE;SPIKE_LC	SPIKE:18495817;SPIKE_LC:18495817	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Other"",""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Other""}"	"{""id_a"":""P46531"",""id_b"":""Q06710"",""positive"":[{""resource"":""SPIKE"",""references"":[""18495817""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Other""}},{""resource"":""SPIKE_LC"",""references"":[""18495817""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Other""}}],""negative"":[],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P41134	Q92858	ID1	ATOH1	1	0	1	1	0	1	SPIKE;SPIKE_LC	SPIKE:16407553;SPIKE_LC:16407553	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""2"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""2"",""SPIKE_LC_mechanism"":""Transcription Regulation""}"	"{""id_a"":""P41134"",""id_b"":""Q92858"",""positive"":[],""negative"":[{""resource"":""SPIKE"",""references"":[""16407553""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""16407553""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P15382	P56696	KCNE1	KCNQ4	1	1	0	1	1	0	SPIKE;SPIKE_LC	SPIKE:16301825;SPIKE_LC:16301825	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Other"",""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Other""}"	"{""id_a"":""P15382"",""id_b"":""P56696"",""positive"":[{""resource"":""SPIKE"",""references"":[""16301825""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Other""}},{""resource"":""SPIKE_LC"",""references"":[""16301825""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Other""}}],""negative"":[],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P46531	Q6ZQN5	NOTCH1	FOXI2	1	0	1	1	0	1	SPIKE;SPIKE_LC	SPIKE:18495817;SPIKE_LC:18495817	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""2"",""SPIKE_mechanism"":""Other"",""SPIKE_LC_effect"":""2"",""SPIKE_LC_mechanism"":""Other""}"	"{""id_a"":""P46531"",""id_b"":""Q6ZQN5"",""positive"":[],""negative"":[{""resource"":""SPIKE"",""references"":[""18495817""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Other""}},{""resource"":""SPIKE_LC"",""references"":[""18495817""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Other""}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
P04628	Q6ZQN5	WNT1	FOXI2	1	0	1	1	0	1	SPIKE;SPIKE_LC	SPIKE:18495817;SPIKE_LC:18495817	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""2"",""SPIKE_mechanism"":""Other"",""SPIKE_LC_effect"":""2"",""SPIKE_LC_mechanism"":""Other""}"	"{""id_a"":""P04628"",""id_b"":""Q6ZQN5"",""positive"":[],""negative"":[{""resource"":""SPIKE"",""references"":[""18495817""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Other""}},{""resource"":""SPIKE_LC"",""references"":[""18495817""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Other""}}],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
Q01094	P38398	E2F1	BRCA1	1	1	0	1	1	0	ACSN;DIP;HPRD;SPIKE;SPIKE_LC	ACSN:12909625;DIP:12697828;HPRD:11278247;HPRD:9244350;SPIKE:18319725;SPIKE:18660752;SPIKE_LC:16713569;SPIKE_LC:18319725;SPIKE_LC:18660752	True	False	False	True	False	False	False	False	False	False	False						post_translational	9	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Transcription Regulation"",""ACSN_effect"":[""UNKNOWN_TRANSITION"",""1""]}"	"{""id_a"":""Q01094"",""id_b"":""P38398"",""positive"":[{""resource"":""SPIKE"",""references"":[""18660752"",""18319725""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""18660752"",""18319725""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}}],""negative"":[],""directed"":[{""resource"":""ACSN"",""references"":[""12909625""],""dataset"":""directionextra"",""via"":null,""attrs"":{""effect"":[""UNKNOWN_TRANSITION"",""1""]}}],""undirected"":[{""resource"":""DIP"",""references"":[""12697828""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""fluorescence microscopy""],""type"":[""physical interaction""],""id"":""DIP-40189E""}},{""resource"":""HPRD"",""references"":[""9244350"",""11278247""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vitro"",""in vivo""]}},{""resource"":""SPIKE_LC"",""references"":[""16713569""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":"""",""mechanism"":""""}}]}"	9606	protein	9606	protein
COMPLEX:P49459_Q9NS91	P12004	RAD18_UBE2A	PCNA	1	1	0	1	1	0	SPIKE;SPIKE_LC	SPIKE:20971043;SPIKE_LC:20971043	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Ubiquitination"",""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Ubiquitination""}"	"{""id_a"":""COMPLEX:P49459_Q9NS91"",""id_b"":""P12004"",""positive"":[{""resource"":""SPIKE"",""references"":[""20971043""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Ubiquitination""}},{""resource"":""SPIKE_LC"",""references"":[""20971043""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Ubiquitination""}}],""negative"":[],""directed"":[],""undirected"":[]}"	9606	complex	9606	protein
P58753	Q99836	TIRAP	MYD88	1	1	0	1	1	0	BioGRID;Cui2007;DIP;HINT;HPRD;InnateDB;IntAct;Lit-BM-17;SIGNOR;SPIKE;SPIKE_LC;Wang	BioGRID:28483816;DIP:24316379;HINT:11526399;HINT:11544529;HINT:12888566;HINT:17258210;HINT:17583698;HINT:18221795;HINT:19506249;HINT:20048342;HINT:21334391;HINT:21873236;HINT:24316379;HINT:33961781;HPRD:11544529;InnateDB:11526399;InnateDB:11544529;InnateDB:12888566;InnateDB:19506249;InnateDB:21873236;InnateDB:22673208;InnateDB:24265315;IntAct:11544529;IntAct:17258210;IntAct:17583698;IntAct:21334391;Lit-BM-17:11544529;Lit-BM-17:17258210;Lit-BM-17:17583698;Lit-BM-17:18221795;Lit-BM-17:20048342;SIGNOR:11544529;SIGNOR:25948473;SPIKE:16410796;SPIKE_LC:16189514;SPIKE_LC:16410796;SPIKE_LC:17583698	True	False	False	True	False	False	False	False	False	False	False						post_translational	37	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Physical Interaction"",""SIGNOR_mechanism"":[""Physical Interaction"",""binding""],""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Physical Interaction""}"	"{""id_a"":""P58753"",""id_b"":""Q99836"",""positive"":[{""resource"":""SPIKE"",""references"":[""16410796""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Physical Interaction""}},{""resource"":""SIGNOR"",""references"":[""25948473"",""11544529""],""dataset"":""omnipath"",""via"":null,""attrs"":{""mechanism"":[""Physical Interaction"",""binding""]}},{""resource"":""SPIKE_LC"",""references"":[""16410796""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Physical Interaction""}}],""negative"":[],""directed"":[],""undirected"":[{""resource"":""BioGRID"",""references"":[""28483816""],""dataset"":""omnipath"",""via"":null,""attrs"":{}},{""resource"":""DIP"",""references"":[""24316379""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""pull down""],""type"":[""direct interaction""],""id"":""DIP-63396E""}},{""resource"":""InnateDB"",""references"":[""21873236"",""22673208"",""24265315"",""12888566"",""19506249"",""11526399"",""11544529""],""dataset"":""omnipath"",""via"":null,""attrs"":{}},{""resource"":""IntAct"",""references"":[""17258210"",""21334391"",""17583698"",""11544529""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""anti tag coimmunoprecipitation"",""pull down"",""two hybrid"",""mammalian protein protein interaction trap""]}},{""resource"":""Lit-BM-17"",""references"":[""17583698"",""20048342"",""17258210"",""18221795"",""11544529""],""dataset"":""omnipath"",""via"":null,""attrs"":{""mentha_score"":0.987}},{""resource"":""HINT"",""references"":[""21873236"",""24316379"",""12888566"",""21334391"",""17583698"",""33961781"",""20048342"",""19506249"",""17258210"",""11526399"",""18221795"",""11544529""],""dataset"":""omnipath"",""via"":null,""attrs"":{""hint_quality"":[""LC"",""HT""]}},{""resource"":""HPRD"",""references"":[""11544529""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vivo""]}},{""resource"":""Wang"",""references"":[],""dataset"":""pathwayextra"",""via"":null,""attrs"":{}},{""resource"":""Cui2007"",""references"":[],""dataset"":""pathwayextra"",""via"":null,""attrs"":{}},{""resource"":""SPIKE_LC"",""references"":[""16189514"",""17583698""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":"""",""mechanism"":""""}}]}"	9606	protein	9606	protein
Q15475	Q02962	SIX1	PAX2	1	1	0	1	1	0	SPIKE;SPIKE_LC	SPIKE:17035528;SPIKE_LC:17035528	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Transcription Regulation""}"	"{""id_a"":""Q15475"",""id_b"":""Q02962"",""positive"":[{""resource"":""SPIKE"",""references"":[""17035528""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""17035528""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}}],""negative"":[],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
Q15475	Q99502	SIX1	EYA1	1	0	1	1	0	1	HINT;HPRD;HuRI;IntAct;SPIKE;SPIKE_LC	HINT:11734542;HINT:12874121;HINT:15226428;HINT:15492887;HINT:33961781;HPRD:11734542;HPRD:12874121;HPRD:15226428;HPRD:15492887;IntAct:32296183;SPIKE:11734542;SPIKE:15492887;SPIKE:17035528;SPIKE_LC:11734542;SPIKE_LC:15492887;SPIKE_LC:17035528	True	False	False	True	False	False	False	False	False	False	False						post_translational	16	"{""SPIKE_effect"":""2"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""2"",""SPIKE_LC_mechanism"":""Transcription Regulation""}"	"{""id_a"":""Q15475"",""id_b"":""Q99502"",""positive"":[],""negative"":[{""resource"":""SPIKE"",""references"":[""17035528""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""17035528""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""2"",""mechanism"":""Transcription Regulation""}}],""directed"":[],""undirected"":[{""resource"":""SPIKE"",""references"":[""15492887"",""11734542""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":"""",""mechanism"":""""}},{""resource"":""IntAct"",""references"":[""32296183""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""two hybrid prey pooling approach"",""validated two hybrid"",""two hybrid array""]}},{""resource"":""HINT"",""references"":[""12874121"",""11734542"",""15492887"",""15226428"",""33961781""],""dataset"":""omnipath"",""via"":null,""attrs"":{""hint_quality"":[""LC"",""HT""]}},{""resource"":""HPRD"",""references"":[""11734542"",""15492887"",""12874121"",""15226428""],""dataset"":""omnipath"",""via"":null,""attrs"":{""method"":[""in vitro"",""in vivo"",""yeast 2-hybrid""]}},{""resource"":""HuRI"",""references"":[],""dataset"":""omnipath"",""via"":null,""attrs"":{""score"":0.856179522986}},{""resource"":""SPIKE_LC"",""references"":[""15492887"",""11734542""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":"""",""mechanism"":""""}}]}"	9606	protein	9606	protein
Q12951	Q15475	FOXI1	SIX1	1	1	0	1	1	0	SPIKE;SPIKE_LC	SPIKE:17035528;SPIKE_LC:17035528	True	False	False	True	False	False	False	False	False	False	False						post_translational	2	"{""SPIKE_effect"":""1"",""SPIKE_mechanism"":""Transcription Regulation"",""SPIKE_LC_effect"":""1"",""SPIKE_LC_mechanism"":""Transcription Regulation""}"	"{""id_a"":""Q12951"",""id_b"":""Q15475"",""positive"":[{""resource"":""SPIKE"",""references"":[""17035528""],""dataset"":""omnipath"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}},{""resource"":""SPIKE_LC"",""references"":[""17035528""],""dataset"":""pathwayextra"",""via"":null,""attrs"":{""effect"":""1"",""mechanism"":""Transcription Regulation""}}],""negative"":[],""directed"":[],""undirected"":[]}"	9606	protein	9606	protein
